Tm,Tr,Tc,Test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
4,4,4,28.212,28.249,28.213,28.236,28.277,28.232,28.228,28.229,28.225,28.25,28.212,4.757469445625975
4,4,5,28.223,28.237,28.207,28.224,28.247,28.202,28.299,28.231,28.246,28.202,28.202,4.759156371888518
