Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,Block_Size,GFLOPS
17,16,16,18.56,17.501,18.623,16.448,20.2,19.759,27.27,17.185,27.165,18.291,16.448,4352,8.160124514
4,16,10,19.321,19.817,16.462,18.33,17.38,17.631,21.296,16.988,27.099,27.373,16.462,640,8.153184789
14,16,9,19.005,16.478,17.132,27.02,19.53,18.61,19.455,19.288,21.041,19.588,16.478,2016,8.145268115
7,13,16,19.033,19.396,17.503,18.534,16.941,18.623,16.485,17.225,17.104,17.316,16.485,1456,8.141809402
16,16,16,17.2,18.84,17.302,16.501,16.962,17.059,17.799,16.827,17.309,17.262,16.501,4096,8.133914793
16,12,11,21.186,25.389,17.01,16.504,19.546,17.248,17.972,17.679,17.776,17.123,16.504,2112,8.132436258
5,6,8,18.165,18.62,19.618,19.483,17.459,17.581,17.299,18.827,16.507,17.301,16.507,240,8.13095826
15,5,13,17.281,18.677,18.357,17.521,16.547,17.78,17.162,20.093,27.307,26.971,16.547,975,8.111302834
7,16,9,17.681,18.681,17.221,17.066,17.915,18.071,16.548,17.206,17.407,17.486,16.548,1008,8.110812666
15,12,16,24.483,18.834,17.931,19.222,16.548,17.777,16.951,17.188,17.362,17.107,16.548,2880,8.110812666
16,4,15,19.17,16.557,19.788,18.08,17.401,18.028,17.47,16.724,16.925,19.679,16.557,960,8.106403817
16,16,11,26.994,17.972,17.77,16.896,17.182,17.148,18.553,18.049,17.736,16.57,16.57,2816,8.100043935
16,4,16,18.998,16.621,17.689,16.896,18.546,16.572,18.504,17.192,17.158,17.448,16.572,1024,8.099066377
4,5,15,19.432,19.513,17.785,18.08,17.045,17.447,17.893,16.584,18.457,17.288,16.584,300,8.093205982
9,14,14,17.415,20.098,16.589,18.359,18.168,19.298,16.987,17.506,18.387,17.44,16.589,1764,8.090766653
5,5,10,17.976,18.402,16.591,17.604,17.06,17.679,20.107,16.917,17.684,17.455,16.591,250,8.089791333
16,13,6,18.286,16.914,17.837,19.602,18.558,16.593,18.815,18.215,17.134,17.49,16.593,1248,8.088816248
8,12,4,19.64,16.597,17.799,17.978,17.263,17.15,17.56,27.42,27.905,17.387,16.597,384,8.086866783
14,6,12,21.105,18.543,16.851,20.924,16.916,18.854,16.599,17.953,22.449,20.485,16.599,1008,8.085892403
15,9,16,18.823,16.6,18.33,16.933,17.333,16.962,18.324,17.534,16.939,17.315,16.6,2160,8.085405301
17,15,8,20.699,17.407,17.49,16.609,17.044,17.205,17.339,17.098,18.096,18.611,16.609,2040,8.081024023
12,13,5,18.252,18.72,16.612,19.054,16.992,18.426,21.401,18.193,19.315,18.118,16.612,780,8.079564652
15,7,9,18.067,19.914,19.282,17.931,17.997,17.05,17.485,16.612,19.164,27.085,16.612,945,8.079564652
11,6,15,17.098,17.181,17.487,18.554,17.868,18.835,16.614,18.159,19.525,18.355,16.614,990,8.078592031
15,11,15,16.615,18.088,17.916,17.578,18.634,16.891,18.225,18.023,18.35,26.974,16.615,2475,8.078105808
16,16,9,18.904,18.039,16.9,17.139,18.143,17.591,16.615,18.773,17.115,17.817,16.615,2304,8.078105808
6,13,11,18.043,18.589,18.297,27.125,27.514,19.719,16.617,19.266,18.028,17.095,16.617,858,8.077133538
9,14,16,17.834,17.43,16.687,20.034,16.798,17.186,17.803,19.088,16.617,17.808,16.617,2016,8.077133538
14,9,16,18.13,16.623,17.238,18.617,17.903,17.055,18.614,18.429,27.441,27.491,16.623,2016,8.074218132
20,14,10,19.498,17.747,19.079,26.981,17.284,17.296,18.418,18.301,16.624,17.962,16.624,2800,8.073732435
14,13,9,17.606,19.344,16.631,18.144,17.455,18.337,17.325,16.916,18.399,23.861,16.631,1638,8.070334195
4,15,16,20.003,19.298,17.743,18.416,16.635,17.426,20.168,27.176,20.994,19.581,16.635,960,8.068393628
13,6,14,17.741,18.381,17.52,18.747,19.268,18.539,17.405,26.936,27.13,16.636,16.636,1092,8.067908632
14,6,7,17.659,20.112,16.636,18.085,17.232,17.802,17.186,19.713,17.049,20.298,16.636,588,8.067908632
19,16,14,17.332,17.334,17.703,16.892,16.784,17.38,17.178,26.968,18.737,16.64,16.64,4256,8.065969231
17,15,6,28.084,18.487,18.488,16.641,17.877,17.56,17.813,19.938,17.625,17.001,16.641,1530,8.065484526
20,14,11,20.607,18.731,16.872,20.991,27.369,16.644,17.364,17.113,18.829,17.71,16.644,3080,8.064030762
8,10,13,19.617,27.146,21.229,16.645,17.913,19.239,17.955,16.881,17.561,17.608,16.645,1040,8.06354629
19,16,13,16.904,26.888,27.137,27.249,18.587,17.487,19.701,17.873,16.647,18.889,16.647,3952,8.062577521
8,4,11,17.499,18.509,18.471,17.088,17.052,17.855,18.981,17.033,18.276,16.648,16.648,352,8.062093224
11,7,15,18.13,17.7,18.704,17.934,18.118,18.243,16.65,17.21,18.198,18.037,16.65,1155,8.061124805
16,4,9,17.63,16.65,17.993,17.244,18.33,17.728,17.532,17.167,17.312,18.265,16.65,576,8.061124805
15,14,6,18.861,19.046,18.859,18.854,17.096,17.834,18.758,21.182,16.651,18.289,16.651,1260,8.060640682
21,14,8,28.182,17.916,27.718,17.693,27.672,19.012,18.929,17.275,16.652,17.143,16.652,2352,8.060156618
14,12,16,27.099,27.624,17.457,16.977,17.708,27.136,17.483,21.968,16.653,18.944,16.653,2688,8.059672612
18,14,10,17.755,16.919,17.244,17.335,17.292,16.816,16.654,19.019,18.138,18.138,16.654,2520,8.059188663
11,10,9,16.655,17.344,18.476,17.244,17.439,17.076,17.663,18.808,18.607,17.154,16.655,990,8.058704773
12,11,4,20.193,16.656,18.175,17.118,27.315,17.37,27.522,18.134,19.045,20.084,16.656,528,8.058220941
13,11,9,20.051,16.658,18.102,17.418,18.639,17.074,27.222,17.333,27.592,19.331,16.658,1287,8.057253452
9,10,4,19.546,19.062,16.659,17.572,17.407,18.82,18.392,19.29,17.32,20.584,16.659,360,8.056769794
7,10,8,17.135,16.66,17.839,21.049,27.309,19.059,19.047,18.692,18.452,17.656,16.66,560,8.056286194
14,12,8,19.406,27.707,16.661,18.972,18.266,17.757,18.657,19.665,16.913,17.475,16.661,1344,8.055802653
14,13,10,27.407,17.93,27.015,18.641,16.661,17.446,17.358,17.175,18.173,17.143,16.661,1820,8.055802653
15,10,16,19.618,18.889,17.763,19.02,19.035,19.791,19.313,16.662,17.711,17.303,16.662,2400,8.055319169
6,5,16,17.381,17.255,27.027,17.964,27.547,16.665,17.822,18.226,18.731,17.586,16.665,480,8.053869067
12,12,9,17.263,18.806,17.342,19.163,17.978,18.145,17.065,16.665,19.054,17.436,16.665,1296,8.053869067
19,7,16,21.806,19.884,18.468,17.653,17.218,17.714,16.666,21.258,18.974,18.543,16.666,2128,8.053385815
16,16,8,17.698,18.227,16.669,17.058,17.152,20.116,17.16,17.448,16.769,17.162,16.669,2048,8.051936409
7,6,8,18.863,19.165,27.561,19.26,16.67,17.399,16.928,27.175,27.161,27.308,16.67,336,8.051453389
16,6,10,16.85,21.011,16.67,17.966,17.642,18.498,16.87,17.957,18.104,18.181,16.67,960,8.051453389
17,10,8,18.314,17.027,17.411,17.474,18.172,17.028,16.671,17.437,17.742,17.216,16.671,1360,8.050970428
16,16,12,17.344,17.134,17.523,16.672,17.406,17.493,17.852,27.178,27.353,18.106,16.672,3072,8.050487524
20,6,12,27.231,27.65,27.353,17.787,17.698,18.912,18.215,17.426,16.888,16.674,16.674,1440,8.04952189
19,16,15,19.151,16.675,18.081,18.699,17.315,17.072,17.18,21.346,17.262,19.209,16.675,4560,8.04903916
20,14,13,16.675,18.567,19.67,17.997,17.57,17.85,17.434,17.972,18.684,19.489,16.675,3640,8.04903916
18,10,15,16.676,16.773,17.376,18.43,19.353,18.603,18.444,17.83,18.548,18.428,16.676,2700,8.048556488
15,11,16,17.968,18.774,16.677,17.884,17.365,18.386,16.806,18.016,17.019,18.512,16.677,2640,8.048073874
9,10,13,19.314,19.306,17.54,16.678,18.965,17.253,17.078,16.866,18.418,17.528,16.678,1170,8.047591318
20,12,16,19.212,16.678,17.273,17.932,17.265,17.331,17.626,17.991,17.088,17.935,16.678,3840,8.047591318
19,6,6,18.82,19.616,17.629,16.679,18.141,18.477,18.608,17.526,17.656,17.068,16.679,684,8.047108819
16,6,6,18.663,18.09,27.622,17.565,16.68,17.149,17.054,17.789,18.623,18.6,16.68,576,8.046626379
15,5,12,16.706,18.443,16.681,17.874,16.88,17.474,17.796,18.671,16.911,17.993,16.681,900,8.046143996
10,16,12,17.826,17.753,17.159,19.454,16.737,19.148,21.796,16.682,27.102,20.313,16.682,1920,8.045661671
15,8,13,19.645,17.24,21.365,19.743,17.318,16.998,17.555,16.682,17.52,17.126,16.682,1560,8.045661671
14,9,15,17.649,18.086,18.777,19.445,17.14,17.052,17.441,16.684,17.096,21.435,16.684,1890,8.044697195
16,16,6,18,17.435,16.686,17.281,16.967,17.133,19.243,19.801,17.16,16.956,16.686,1536,8.04373295
8,12,7,18.599,16.939,18.104,17.003,18.044,16.688,18.726,17.49,17.063,17.024,16.688,672,8.042768936
11,4,6,17.36,27.209,16.688,18.136,18.721,17.906,18.749,18.3,17.414,17.246,16.688,264,8.042768936
19,16,12,16.689,18.906,18.891,17.355,16.869,17.42,16.976,18.23,17.329,17.302,16.689,3648,8.042287015
13,5,12,18.005,18.557,17.467,16.697,19.492,17.353,17.001,17.364,17.315,17.129,16.697,780,8.038433731
21,16,10,20.155,18.58,16.698,18.656,17.011,17.172,17.085,17.402,18.107,18.974,16.698,3360,8.03795233
13,8,12,28.649,17.853,17.198,17.136,17.473,18.444,16.748,17.856,16.7,17.001,16.7,1248,8.036989701
21,14,12,16.772,17.848,17.639,18.328,16.7,18.449,19.155,18.33,18.038,17.832,16.7,3528,8.036989701
15,15,12,17.911,20.879,18.78,19.033,18.1,16.701,18.757,17.645,18.829,18.01,16.701,2700,8.036508473
9,14,13,18.301,17.655,18.357,17.024,17.442,16.702,17.319,18.799,17.735,17.013,16.702,1638,8.036027302
5,7,16,19.004,17.29,17.347,20.21,26.845,17.632,17.244,16.703,17.242,17.053,16.703,560,8.035546189
14,6,16,17.708,17.218,16.79,17.999,16.704,18.629,17.747,18.667,18.692,17.82,16.704,1344,8.035065134
4,7,14,28.483,17.403,20.075,21.418,17.715,17.641,17.52,16.705,16.951,17.507,16.705,392,8.034584136
8,10,16,18.82,17.624,18.505,17.443,17.675,17.669,17.004,16.705,18.887,17.433,16.705,1280,8.034584136
13,16,13,27.068,27.117,19.161,27.689,18.46,16.992,19.047,16.705,19.239,17.289,16.705,2704,8.034584136
11,8,10,20.342,20.868,17.795,17.596,18.04,16.706,18.546,17.302,18.13,19.212,16.706,880,8.034103196
18,6,10,19.355,18.713,27.087,26.935,18.052,27.092,21.871,21.583,16.706,17.695,16.706,1080,8.034103196
17,12,13,17.157,17.456,19.539,17.287,19.2,17.98,16.707,18.87,18.098,17.314,16.707,2652,8.033622314
15,5,10,16.708,19.517,18.644,17.273,16.868,19.075,16.953,20.562,19.16,17.23,16.708,750,8.033141489
16,16,15,17.797,17.628,16.708,18.649,17.945,17.086,16.982,17.022,27.155,18.301,16.708,3840,8.033141489
11,16,9,17.693,17.181,17.163,17.137,17.108,18.121,19.117,17.99,16.71,27.096,16.71,1584,8.032180012
12,14,11,18.861,16.71,17.248,17.115,17.47,16.975,17.21,18.551,17.142,20.125,16.71,1848,8.032180012
11,16,10,27.272,19.507,18.892,17.164,18.046,16.711,19.205,17.238,17.053,17.056,16.711,1760,8.03169936
25,13,12,17.006,17.551,17.571,21.587,17.154,18.63,19.727,16.711,17.258,21.272,16.711,3900,8.03169936
11,11,16,26.674,27.555,17.382,17.839,17.899,17.533,18.182,18.412,19.51,16.712,16.712,1936,8.031218765
12,11,10,17.964,18.869,21.22,19.139,18.622,16.713,18.632,17.178,17.774,17.398,16.713,1320,8.030738228
23,10,9,17.34,18.026,18.011,20.224,16.713,27.124,18.244,19.813,20.516,21.145,16.713,2070,8.030738228
16,16,13,19.611,18.802,16.998,17.646,18.29,18.399,18.57,17.256,17.561,16.714,16.714,3328,8.030257748
17,13,15,20.626,20.8,27.646,21.334,19.267,18.953,18.58,16.716,17.798,17.03,16.716,3315,8.029296961
14,15,16,17.673,19.661,19.216,18.255,18.831,20.32,16.717,18.663,22.741,19.824,16.717,3360,8.028816654
15,7,16,19.432,17.984,18.386,18.234,17.224,18.613,17.107,16.718,29.691,22.187,16.718,1680,8.028336404
15,16,16,18.916,18.333,18.325,16.847,18.356,16.718,19.458,19.208,16.955,19.478,16.718,3840,8.028336404
13,14,8,39.99,16.719,18.833,17.004,18.169,18.472,17.12,27.283,27.195,18.235,16.719,1456,8.027856211
13,15,16,19.312,17.172,17.497,17.931,18.149,17.176,19.018,16.719,17.351,19.148,16.719,3120,8.027856211
18,7,16,17.002,17.093,18.171,17.596,16.719,17.191,17.472,17.057,18.852,18.551,16.719,2016,8.027856211
13,14,14,18.059,18.585,27.05,27.795,18.959,16.722,17.861,17.262,17.433,17.183,16.722,2548,8.026415979
15,12,9,16.802,17.763,16.724,17.384,17.181,18.084,17.627,16.926,17.012,17.67,16.724,1620,8.025456111
7,7,14,17.733,18.444,16.725,17.598,16.938,17.595,17.286,17.404,16.997,17.63,16.725,686,8.024976263
10,9,9,16.725,27.344,18.247,27.477,17.189,17.602,18.644,17.47,19.461,18.911,16.725,810,8.024976263
4,4,9,17.81,18.299,16.825,17.882,16.726,17.007,17.62,18.704,17.586,21.124,16.726,144,8.024496473
10,12,11,17.58,19.09,18.669,18.937,17.49,18.12,16.726,18.479,27.213,17.349,16.726,1320,8.024496473
10,7,12,18.757,20.841,17.343,17.5,17.615,17.444,18.649,16.727,17.293,20.181,16.727,840,8.024016739
17,10,7,19.756,17.273,17.395,19.981,16.794,17.355,18.69,18.559,16.727,20.292,16.727,1190,8.024016739
16,11,16,18.385,19.323,17.272,27.016,17.98,16.728,27.125,20.139,27.161,17.267,16.728,2816,8.023537064
18,4,13,18.558,19.729,21.309,17.202,18.129,19.593,17.224,16.729,17.945,18.589,16.729,936,8.023057445
11,4,8,17.534,16.73,17.753,17.257,17.882,16.937,17.853,17.579,17.979,18.903,16.73,352,8.022577884
14,4,15,18.102,18.078,18.467,16.855,17.15,16.842,17.606,16.86,18.202,16.731,16.731,840,8.02209838
6,16,11,18.057,17.622,16.949,17.824,16.733,17.944,17.35,17.658,17.269,17.669,16.733,1056,8.021139545
7,5,9,16.733,18.491,17.367,17.438,17.566,17.174,18.005,18.574,18.089,17.214,16.733,315,8.021139545
13,16,15,20.697,17.288,18.117,26.901,16.821,17.659,16.859,16.733,16.905,18.563,16.733,3120,8.021139545
14,10,4,27.59,26.969,28.25,27.1,18.298,17.936,16.735,17.992,16.945,17.227,16.735,560,8.020180938
13,12,6,27.23,27.338,27.899,17.768,17.98,17.623,17.854,16.736,17.986,18.041,16.736,936,8.019701721
6,8,16,18.161,16.957,18.037,18.673,17.029,16.737,19.27,18.863,17.518,17.578,16.737,768,8.019222561
15,15,6,21.372,17.021,17.653,18.069,17.195,27.948,27.218,17.166,16.738,17.336,16.738,1350,8.018743458
16,6,14,17.88,18.327,18.099,18.234,18.402,18.371,16.94,17.936,19.093,16.738,16.738,1344,8.018743458
12,11,9,17.706,18.122,17.267,16.739,19.293,17.452,18.095,17.368,17.971,27.317,16.739,1188,8.018264412
17,16,8,19.972,16.97,17.188,17.173,17.403,17.599,18.844,16.739,18.303,17.115,16.739,2176,8.018264412
15,4,15,19.012,18.977,16.768,17.54,16.915,18.653,16.74,19.118,18.465,17.508,16.74,900,8.017785424
17,11,15,17.86,26.863,16.74,19.326,17.681,17.518,17.85,17.737,19.813,17.268,16.74,2805,8.017785424
19,15,16,20.182,17.353,21.134,17.723,17.65,16.74,17.72,18.282,17.274,17,16.74,4560,8.017785424
5,12,15,27.104,18.989,28.51,18.608,21.363,16.741,17.061,21.299,17.353,17.908,16.741,900,8.017306493
29,15,16,19.301,16.741,17.385,17.069,18.633,21.456,17.296,27.429,17.615,18.215,16.741,6960,8.017306493
4,6,10,16.742,17.697,20.151,17.259,19.625,20.059,16.992,18.404,20.572,20.036,16.742,240,8.016827619
7,8,9,19.831,19.004,18.265,17.006,17.635,16.743,17.416,17.51,17.386,17.41,16.743,504,8.016348802
10,13,15,17.259,26.887,17.482,27.123,18.734,17.9,18.443,16.743,16.995,18.88,16.743,1950,8.016348802
13,13,6,19.224,18.266,17.012,27.017,18.719,16.743,18.225,17.441,18.039,18.033,16.743,1014,8.016348802
16,13,11,18.185,17.387,17.455,18.431,16.743,17.022,17.469,17.672,18.311,17.001,16.743,2288,8.016348802
13,13,11,16.745,17.713,17.319,18.647,17.323,17.611,17.764,16.893,17.239,17.154,16.745,1859,8.015391341
17,5,11,16.747,20.751,17.486,18.331,16.887,19.172,17.168,18.889,18.902,18.895,16.747,935,8.014434108
8,8,8,17.882,19.154,17.566,19.54,17.048,19.007,17.655,16.931,16.748,17.416,16.748,512,8.013955577
16,12,15,17.985,18.978,16.751,21.492,17.998,18.183,17.788,19.707,17.303,17.481,16.751,2880,8.012520327
13,16,12,19.721,18.911,17.338,18.581,17.087,17.798,17.701,17.321,16.752,17.276,16.752,2496,8.012042025
14,13,13,17.539,17.201,17.312,17.964,16.752,27.36,27.211,18.108,18.429,21.489,16.752,2366,8.012042025
17,9,14,18.375,17.067,17.33,16.752,19.205,17.258,18.389,18.133,18.743,27.354,16.752,2142,8.012042025
18,12,12,18.407,17.307,19.444,16.752,18.647,17.777,17.962,17.94,17.96,17.158,16.752,2592,8.012042025
12,13,10,17.609,16.754,17.419,17.543,18.802,16.998,21.29,17.207,27.268,17.378,16.754,1560,8.011085592
13,7,6,18.33,19.337,18.331,18.739,18.691,19.013,27.258,16.754,17.581,16.856,16.754,546,8.011085592
17,12,11,18.753,16.755,17.45,17.036,17.895,16.897,18.34,17.349,20.921,16.988,16.755,2244,8.01060746
21,12,4,18.031,21.166,18.786,17.414,16.756,18.852,17.615,17.941,18.777,19.646,16.756,1008,8.010129386
12,13,15,19.523,27.191,19.086,19.036,17.841,21.411,16.757,18.728,17.935,17.641,16.757,2340,8.00965137
5,11,12,18.774,18.589,19.177,16.758,17.38,17.411,18.737,17.295,17.122,17.351,16.758,660,8.00917341
10,11,8,20.649,21.281,18.061,16.758,17.866,18.33,18.94,17.013,17.746,17.93,16.758,880,8.00917341
19,10,10,17.196,27.339,17.989,27.175,18.397,21.208,17.518,16.76,19.77,17.789,16.76,1900,8.008217661
9,12,12,17.022,18.203,17.614,19.026,16.761,17.923,17.304,17.618,18.484,18.569,16.761,1296,8.007739872
11,10,11,17.643,17.765,16.762,17.208,17.124,27.597,18.451,18.176,18.29,17.763,16.762,1210,8.007262141
14,14,4,27.065,16.762,18.438,17.056,17.28,18.102,17.151,18.895,16.934,17.656,16.762,784,8.007262141
15,13,16,20.464,17.436,26.827,17.82,18.143,18.099,19.484,16.861,21.043,16.762,16.762,3120,8.007262141
7,11,13,18.774,17.018,17.031,18.139,16.763,19.12,17.161,18.59,18.622,17.089,16.763,1001,8.006784466
17,9,10,17.988,18.092,16.782,18.208,17.609,17.163,18.864,17.453,18.307,16.763,16.763,1530,8.006784466
19,4,12,27.416,21.369,16.885,18.697,19.863,18.295,17.382,17.203,16.763,18.568,16.763,912,8.006784466
5,10,5,21.001,19.853,20.854,20.217,16.765,19.13,17.198,18.504,17.857,20.384,16.765,250,8.005829287
8,8,11,22.163,17.247,17.552,16.765,17.409,18.161,19.237,17.264,18.552,17.434,16.765,704,8.005829287
13,13,10,19.282,16.982,19.147,17.414,16.871,17.919,16.987,19.309,16.765,18.78,16.765,1690,8.005829287
7,14,16,20.326,17.797,27.213,18.339,18.198,16.766,26.997,17.132,27.238,16.973,16.766,1568,8.005351783
10,6,9,16.99,18.96,27.173,17.631,18.136,18.292,18.91,18.339,18.762,16.766,16.766,540,8.005351783
17,8,15,27.006,18.701,20.716,18.153,17.195,17.426,19.511,16.768,17.086,18.501,16.768,2040,8.004396947
26,12,6,19.25,19.028,17.554,18.775,17.179,20.871,17.317,19.283,16.768,19.144,16.768,1872,8.004396947
4,5,14,17.369,17.4,18.629,18.736,16.769,17.518,22.756,27.1,17.46,18.619,16.769,280,8.003919614
21,11,9,19.371,18.177,18.654,17.983,19.522,18.875,17.881,16.769,17.364,16.847,16.769,2079,8.003919614
6,4,16,20.071,18.495,16.77,17.221,17.047,18.071,17.467,17.849,17.006,18.231,16.77,384,8.003442338
12,6,9,18.054,18.12,16.77,27.023,27.366,27.627,26.989,17.893,17.587,17.668,16.77,648,8.003442338
23,6,16,20.2,19.323,19.379,19.844,16.77,17.93,17.182,20.726,19.655,19.378,16.77,2208,8.003442338
7,12,8,27.188,18.318,17.767,17.249,17.198,19.654,17.667,18.295,19.232,16.771,16.771,672,8.002965118
10,15,8,18.142,27.485,17.834,27.471,17.586,16.771,18.688,20.27,17.555,27.063,16.771,1200,8.002965118
23,10,15,18.763,18.689,18.348,17.799,17.312,17.413,16.771,21.653,17.404,18.781,16.771,3450,8.002965118
8,14,10,19.636,16.772,26.777,18.413,17.624,17.694,23.351,27.012,17.783,17.273,16.772,1120,8.002487956
6,9,12,16.773,17.405,16.809,27.124,27.291,27.474,18.107,19.786,18.838,17.448,16.773,648,8.002010851
11,9,16,18.546,17.17,18.546,16.773,18.59,17.511,17.97,17.7,17.052,16.956,16.773,1584,8.002010851
16,14,12,17.832,19.329,16.774,18.217,17.234,26.897,27.518,17.94,19.648,18.89,16.774,2688,8.001533802
12,6,11,17.113,18.395,16.775,19.234,17.02,17.641,18.082,17.129,19.246,27.349,16.775,792,8.001056811
17,12,16,19.59,17.203,18.852,16.776,18.352,17.078,19.387,16.948,18.788,18.739,16.776,3264,8.000579876
6,10,14,19.142,18.602,17.216,17.601,16.777,18.625,21.16,19.015,17.211,20.453,16.777,840,8.000102998
15,16,10,18.18,17.118,16.777,16.937,19.024,17.099,19.66,18.804,27.041,27.187,16.777,2400,8.000102998
16,6,4,17.899,18.619,17.265,16.777,17.887,22.642,28.323,17.384,18.017,17.448,16.777,384,8.000102998
12,5,11,19.236,27.138,17.276,17.753,17.486,16.8,27.578,18.075,16.778,17.848,16.778,660,7.999626177
4,5,8,18.524,19.62,19.636,16.779,18.788,17.397,20.066,20.231,19.613,17.907,16.779,160,7.999149413
12,16,16,21.076,17.229,17.631,17.779,16.779,17.282,17.013,17.196,17.025,17.243,16.779,3072,7.999149413
16,5,11,19.193,17.767,18.113,17.613,17.014,17.604,18.422,17.723,17.523,16.779,16.779,880,7.999149413
16,16,7,17.615,17.631,18.394,18.185,17.515,17.465,18.884,17.52,17.998,16.779,16.779,1792,7.999149413
10,6,4,27.664,17.75,27.251,17.736,16.899,18.633,19.849,21.592,17.831,16.78,16.78,240,7.998672706
13,8,5,17.886,18.137,16.997,17.188,17.698,18.553,19.053,18.169,16.78,17.638,16.78,520,7.998672706
9,14,10,22.664,16.782,27.493,27.617,17.962,19.009,20.011,19.367,17.919,18.012,16.782,1260,7.997719461
15,8,4,19.009,19.341,17.935,17.554,20.324,19.822,16.782,17.493,27.637,18.311,16.782,480,7.997719461
13,9,16,18.702,26.826,27.273,18.874,16.903,19.111,16.783,20.251,17.602,17.351,16.783,1872,7.997242924
5,16,6,18.128,17.448,16.785,17.353,17.045,17.982,17.673,18.661,17.453,17.876,16.785,480,7.996290021
16,13,13,16.785,20.194,17.284,17.707,16.948,17.281,17.095,18.478,17.822,17.275,16.785,2704,7.996290021
10,15,16,27.591,17.543,27.391,18.003,18.296,27.269,17.8,16.786,18.462,17.58,16.786,2400,7.995813654
25,5,14,18.573,19.206,19.944,18.532,18.33,17.68,18.241,19.128,16.786,17.662,16.786,1750,7.995813654
15,10,14,17.673,17.59,21.505,18.63,16.787,18.236,18.263,21.202,17.743,27.253,16.787,2100,7.995337344
17,11,13,18.622,18.532,16.935,19.189,16.787,17.194,18.107,16.983,17.132,17.128,16.787,2431,7.995337344
9,4,11,18.363,18.776,17.22,17.586,19.261,27.268,16.788,17.075,17.464,17.236,16.788,396,7.994861091
14,14,6,18.687,17.961,17.562,18.905,26.934,27.685,16.788,27.326,17.518,17.735,16.788,1176,7.994861091
10,11,10,18.213,17.199,18.085,18.382,18.518,17.45,17.271,16.789,17.791,18.637,16.789,1100,7.994384895
14,16,5,18.174,17.054,21.666,17.073,17.516,17.328,18.664,17.182,16.789,17.292,16.789,1120,7.994384895
12,8,16,18.923,16.83,18.458,18.077,20.59,27.474,16.79,26.922,18.97,27.196,16.79,1536,7.993908755
7,15,4,20.23,17.79,17.102,16.791,17.352,16.916,17.677,17.017,17.411,18.022,16.791,420,7.993432672
7,16,11,18.683,19.243,17.126,18.653,18.987,17.382,16.791,18.222,19.823,18.698,16.791,1232,7.993432672
13,12,14,27.1,18.841,18.977,17.856,17.036,20.659,16.791,17.264,16.925,17.105,16.791,2184,7.993432672
22,16,15,18.064,18.519,16.791,18.481,17.066,17.209,17.283,17.443,17.34,19.913,16.791,5280,7.993432672
5,13,9,18.364,18.752,16.997,16.792,17.772,17.602,16.896,17.484,17.284,17.213,16.792,585,7.992956646
14,10,9,27.484,17.797,27.355,18.779,27.234,17.754,16.793,17.695,17.77,17.801,16.793,1260,7.992480676
15,6,15,19.536,17.249,18.534,17.38,19.019,16.84,17.3,27.186,16.793,20.191,16.793,1350,7.992480676
16,7,7,18.923,17.708,20.309,18.321,19.102,17.3,18.962,18.503,16.793,19.026,16.793,784,7.992480676
18,15,8,27.105,19.23,27.346,18.286,17.542,16.918,17.516,17.81,17.412,16.793,16.793,2160,7.992480676
19,12,8,27.002,27.665,18.696,17.929,17.923,18.348,19.823,18.192,19.001,16.793,16.793,1824,7.992480676
26,12,12,17.541,16.793,17.66,18.483,20.227,18.312,17.821,21.577,27.356,20.108,16.793,3744,7.992480676
10,9,10,16.794,19.378,17.742,18.573,18.179,18.563,27.464,19.366,27.597,19.083,16.794,900,7.992004764
15,8,8,17.547,18.437,18.261,18.311,17.717,18.812,18.014,17.665,17.358,16.794,16.794,960,7.992004764
18,13,5,27.173,18.875,17.519,16.795,18.632,17.276,19.02,17.574,18.861,18.689,16.795,1170,7.991528907
13,4,5,17.337,17.453,17.319,17.526,17.233,17.927,19.318,17.264,16.796,17.483,16.796,260,7.991053108
13,14,12,17.755,17.771,16.796,18.124,17.232,17.608,18.268,18.561,27.092,18.4,16.796,2184,7.991053108
15,12,14,20.373,17.494,17.183,17.196,17.382,17.241,17.78,18.483,18.914,16.796,16.796,2520,7.991053108
14,4,13,18.026,18.503,17.341,27.357,18.973,27.797,27.914,16.797,27.544,19.389,16.797,728,7.990577365
12,6,8,19.055,18.139,19.07,18.572,17.255,17.753,17.05,20.423,16.799,17.457,16.799,576,7.989626049
13,15,9,17.904,17.36,19.975,19.475,17.233,18.283,17.188,16.8,26.999,16.978,16.8,1755,7.989150476
14,8,15,16.906,18.407,17.602,16.8,27.305,20.708,17.505,17.167,18.857,18.27,16.8,1680,7.989150476
14,9,11,19.475,16.907,18.769,16.8,19.224,16.828,17.427,18.56,17.681,16.867,16.8,1386,7.989150476
7,14,11,19.015,17.349,16.801,17.665,17.148,20.313,27.506,27.308,21.356,17.933,16.801,1078,7.98867496
17,4,5,16.801,20.095,18.154,27.407,18.759,19.19,18.827,18.982,19.034,17.983,16.801,340,7.98867496
22,9,16,18.723,18.697,17.146,17.118,17.01,21.536,17.019,18.304,16.801,18.409,16.801,3168,7.98867496
10,14,11,17.203,17.786,16.802,18.835,16.973,19.847,17.104,16.995,17.046,19.332,16.802,1540,7.9881995
11,15,10,18.239,18.255,17.049,16.802,17.28,17.201,17.53,17.852,27.014,27.769,16.802,1650,7.9881995
