Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,Block Size,GFLOPS
128,11,11,270.722,237.421,247.065,240.217,261.134,249.431,254.889,262.463,299.573,256.087,237.421,15488,0.565315318
85,11,16,237.422,296.147,241.311,259.87,265.417,243.475,248.107,251.043,256.094,241.638,237.422,14960,0.565312936
86,12,8,265.966,271.414,264.737,244.372,277.16,255.217,237.437,324.084,245.212,254.027,237.437,8256,0.565277223
37,4,16,237.438,304.649,279.816,241.432,268.02,284.834,278.286,286.854,255.621,306.68,237.438,2368,0.565274842
67,4,12,264.113,237.447,249.879,241.701,247.356,241.968,249.367,246.765,308.245,256.793,237.447,3216,0.565253417
73,12,10,237.45,250.188,282.515,251.203,283.972,272.565,295.994,382.937,304.837,362.509,237.45,8760,0.565246275
102,5,7,257.642,246.293,271.039,265.613,290.067,309.615,255.567,237.455,257.133,242.944,237.455,3570,0.565234373
36,15,10,241.78,255.485,247.849,321.966,257.875,237.471,250.058,245.722,304.7,285.792,237.471,5400,0.565196289
101,5,14,263.951,249.155,338.41,251.725,237.476,244.689,322.522,245.085,252.145,246.847,237.476,7070,0.565184389
113,11,13,251.802,237.505,257.115,259.259,261.142,253.472,246.13,255.395,247.108,252.5,237.505,16159,0.565115379
86,5,7,257.856,300.521,239.025,264.187,237.511,299.354,259.489,247.128,256.647,251.653,237.511,3010,0.565101103
105,6,16,245.948,266.035,237.516,320.043,254.046,252.568,243.413,262.763,260.967,246.144,237.516,10080,0.565089207
64,6,9,252.135,246.985,250.153,239.465,257.07,295.28,250.818,240.563,270.642,237.524,237.524,3456,0.565070174
100,4,12,311.004,266.116,237.524,261.09,246.671,273.571,259.142,320.823,255.473,315.784,237.524,4800,0.565070174
102,15,8,247.916,242.895,261.402,290.637,261.346,256.338,265.979,301.905,237.532,255.838,237.532,12240,0.565051143
94,7,5,251.872,242.82,261.339,239.112,271.749,251.03,255.445,263.473,237.552,260.854,237.552,3290,0.56500357
36,5,4,333.121,353.34,327.328,261.846,271.272,331.856,301.639,237.553,291.755,242.641,237.553,720,0.565001191
74,6,16,289.327,254.368,237.553,258.823,239.43,245.978,252.541,273.683,242.19,242.178,237.553,7104,0.565001191
36,6,13,285.294,261.112,242.378,267.562,244.379,262.157,255.781,269.265,237.584,262.396,237.584,2808,0.56492747
123,11,12,248.004,245.404,237.598,253.331,253.934,249.621,241.41,254.624,278.697,246.504,237.598,16236,0.564894183
105,10,15,302.776,259.06,245.357,249.165,249.4,269.882,284.078,256.91,237.599,269.528,237.599,15750,0.564891805
97,4,14,259.114,237.606,262.191,246.027,255.04,250.103,260.472,278.83,282.192,301.337,237.606,5432,0.564875163
77,5,12,262.241,263.659,269.846,268.461,252.623,334.885,245.438,247.231,237.623,259.095,237.623,4620,0.564834751
95,14,13,249.468,243.832,256.321,245.143,264.731,245.94,267.93,252.898,296.83,237.623,237.623,17290,0.564834751
94,6,15,250.831,237.626,269.587,240.337,246.488,289.833,241.586,257.958,249.172,256.29,237.626,8460,0.56482762
102,13,5,239.675,267.247,248.552,263.186,248.143,289.433,254.424,262.733,237.626,256.745,237.626,6630,0.56482762
71,9,8,262.561,243.54,249.723,237.629,310.507,352.829,388.902,257.779,263.433,264.784,237.629,5112,0.564820489
99,16,12,262.895,254.898,248.02,253.225,264.726,358.9,254.818,298.361,237.635,260.298,237.635,19008,0.564806228
103,5,16,296.862,260.947,237.636,281.103,244.762,250.689,292.989,284.124,346.074,247.989,237.636,8240,0.564803851
97,10,10,253.208,237.637,247.814,257.714,287.64,252.391,244.538,263.631,247.642,248.355,237.637,9700,0.564801475
108,16,8,318.708,295.76,256.147,247.705,252.922,237.64,275.894,244.024,272.408,243.593,237.64,13824,0.564794344
72,13,14,296.084,253.904,252.89,254.055,237.642,265.678,292.268,255.199,254.251,262.837,237.642,13104,0.564789591
96,7,12,257.893,244.064,262.58,237.649,264.911,243.967,276.612,256.079,269.271,242.411,237.649,8064,0.564772955
67,7,16,237.657,259.253,261.659,248.654,281.514,260.867,288.772,263.506,273.998,286.205,237.657,7504,0.564753944
108,9,10,302.142,259.314,237.662,250.665,240.42,269.342,239.922,371.703,257.292,293.21,237.662,9720,0.564742062
96,6,11,276.234,237.672,239.351,262.701,273.493,277.978,274.806,290.007,240.189,275.021,237.672,6336,0.564718301
38,6,12,244.32,261.371,242.812,252.894,247.56,308.639,292.068,237.683,269.831,264.713,237.683,2736,0.564692166
81,15,16,315.897,237.683,251.209,306.361,238.336,291.983,257.553,271.307,252.182,260.587,237.683,19440,0.564692166
102,10,14,294.807,260.423,298.91,237.684,256.662,239.429,259.163,251.651,271.802,244.568,237.684,14280,0.56468979
122,4,7,251.011,237.692,282.971,283.862,263.108,249.665,274.278,241.735,249.704,244.904,237.692,3416,0.564670784
95,12,13,320.666,313.848,253.384,249.785,254.824,237.697,277.901,261.886,265.046,241.11,237.697,14820,0.564658906
97,4,10,237.702,255.793,245.159,271.962,242.479,260.648,248.708,251.36,241.04,249.396,237.702,3880,0.564647029
96,7,11,285.592,250.813,237.705,284.836,247.649,272.997,258.892,245.745,269.96,269.807,237.705,7392,0.564639902
103,16,5,237.705,258.349,242.51,252.164,240.161,277.5,245.179,281.485,259.532,245.603,237.705,8240,0.564639902
97,12,8,255.396,258.562,248.214,286.046,311.783,237.711,278.284,247.963,257.546,242.658,237.711,9312,0.56462565
97,9,7,259.631,237.716,252.2,276.95,289.381,248.197,252.855,276.031,300.722,268.876,237.716,6111,0.564613774
66,6,12,271.247,374.259,322.683,341.529,268.39,263.47,237.717,254.743,251.965,266.143,237.717,4752,0.564611399
93,5,11,273.7,302.726,238.032,268.732,237.724,260.318,239.919,318.004,256.798,255.604,237.724,5115,0.564594774
86,10,9,237.727,259.32,297.02,299.565,246.509,249.094,272.505,249.199,327.417,272.633,237.727,7740,0.564587649
102,13,6,249.683,297.158,304.531,305.139,296.978,245.187,289.773,237.74,256.278,242.882,237.74,7956,0.564556776
98,15,16,338.069,269.885,246.49,301.541,252.011,265.778,240.041,250.754,237.746,281.393,237.746,23520,0.564542529
96,8,14,242.155,265.841,290.033,237.751,273.593,260.844,251.861,254.034,239.524,259.484,237.751,10752,0.564530656
102,4,5,246.136,261.937,251.256,258.037,239.108,253.788,237.757,283.315,286.744,252.801,237.757,2040,0.56451641
78,11,12,252.065,237.761,242.51,244.25,275.55,253.056,238.919,311.161,278.379,248.65,237.761,10296,0.564506912
96,10,16,284.481,237.769,282.325,281.913,256.95,288.206,290.99,248.244,260.855,240.909,237.769,15360,0.564487919
117,14,7,237.772,262.474,320.884,394.341,310.91,289.114,241.259,256.219,243.387,252.868,237.772,11466,0.564480797
73,6,13,282.215,253.804,247.888,239.787,264.488,237.774,243.706,239.95,241.195,264.095,237.774,5694,0.564476049
97,13,14,247.821,261.295,237.775,267.164,247.087,249.139,250.752,258.092,242.074,270.352,237.775,17654,0.564473675
101,8,13,238.695,260.427,238.802,263.1,248.382,264.325,244.179,257.22,237.78,298.633,237.78,10504,0.564461805
92,11,5,259.765,240.119,251.42,249.975,306.764,308.789,258.332,239.917,258.229,237.781,237.781,5060,0.564459431
104,14,4,247.031,288.708,249.371,258.436,248.447,261.715,237.781,253.571,307.55,291.647,237.781,5824,0.564459431
99,8,13,249.267,292.517,258.951,253.705,268.373,240.7,264.682,239.751,261.742,237.782,237.782,10296,0.564457057
99,11,6,299.943,271.374,254.543,262.332,237.782,256.091,240.303,317.76,278.943,277.351,237.782,6534,0.564457057
34,13,11,282.686,386.22,249.335,254.056,237.788,242.64,309.435,262.238,249.885,244.001,237.788,4862,0.564442815
120,14,7,261.604,259.854,258.947,237.79,251.519,313.296,275.539,265.139,241.838,266.479,237.79,11760,0.564438067
65,14,16,244.899,243.32,256.308,297.324,262.516,256.347,256.816,250.426,237.791,299.438,237.791,14560,0.564435694
128,9,12,262.824,279.812,249.304,278.983,237.793,251.856,261.514,267.081,245.016,248.562,237.793,13824,0.564430946
113,5,4,237.794,263.116,238.828,302.092,277.695,265.5,306.376,247.796,241.644,329.571,237.794,2260,0.564428573
113,13,15,257.586,251.665,263.099,248.234,248.596,242.035,256.539,237.797,287.56,289.93,237.797,22035,0.564421452
101,16,4,280.546,262.31,253.732,247.401,237.798,240.757,309.248,239.422,289.938,321.638,237.798,6464,0.564419078
93,12,13,261.138,237.799,273.023,287.486,238.722,268.565,245.434,265.466,293.575,315.796,237.799,14508,0.564416705
101,6,10,237.803,240.891,272.454,250.563,262.572,239.703,252.514,289.147,286.748,251.43,237.803,6060,0.564407211
75,15,13,258.27,257.6,239.535,243.982,252.317,348.848,251.683,282.377,273.326,237.804,237.804,14625,0.564404838
109,12,8,292.424,280.613,255.303,243.66,247.241,255.28,237.805,287.638,267.059,254.46,237.805,10464,0.564402464
74,5,6,246.949,243.941,256.777,237.808,269.463,259.832,266.414,278.196,277.523,249.422,237.808,2220,0.564395344
128,11,7,284.486,309.721,240.3,258.326,254.161,250.788,237.811,262.242,261.57,303.819,237.811,9856,0.564388224
98,10,4,244.21,254.856,244.946,259.822,254.318,245.303,240.67,271.66,237.814,307.67,237.814,3920,0.564381105
103,6,14,239.01,245.91,308.224,240.399,254.261,253.424,251.376,237.814,246.462,248.606,237.814,8652,0.564381105
86,12,12,263.238,252.824,237.82,267.003,245.815,241.883,263.61,247.235,261.613,341.17,237.82,12384,0.564366866
104,14,9,252.689,246.287,251.552,261.021,237.824,269.27,277.533,308.656,282.504,248.536,237.824,13104,0.564357374
93,5,10,308.408,240.12,267.777,237.832,264.454,238.665,270.305,248.58,253.712,241.918,237.832,4650,0.56433839
114,8,7,255.795,255.857,237.833,254.905,238.145,255.172,250.255,258.209,242.977,256.339,237.833,6384,0.564336017
99,12,15,252.722,271.365,243.034,274.623,244.389,254.861,271.67,289.36,256.065,237.835,237.835,17820,0.564331272
102,5,9,256.005,237.835,254.134,241.85,318.23,241.36,258.817,267.733,257.198,333.131,237.835,4590,0.564331272
96,8,5,255.836,244.661,262.232,239.664,260.619,245.599,250.706,237.837,253.038,278.785,237.837,3840,0.564326526
100,4,8,237.837,269.793,242.458,254.28,244.701,259.645,247.207,250.7,251.816,262.983,237.837,3200,0.564326526
121,13,9,253.836,242.828,264.078,272.061,242.152,261.068,243.107,271.593,237.837,279.458,237.837,14157,0.564326526
35,15,7,271.574,237.842,259.344,254.488,273.683,359.174,246.74,264.585,256.031,249.284,237.842,3675,0.564314663
61,11,9,251.819,243.297,278.719,244.194,250.586,242.545,259.056,237.847,269.357,239.021,237.847,6039,0.5643028
85,16,8,247.292,266.709,373.366,295.249,275.744,237.862,256.982,244.923,277.483,253.678,237.862,10880,0.564267214
119,10,14,253.59,268.848,288.746,255.897,237.863,249.186,241.337,290.243,272.704,325.6,237.863,16660,0.564264842
103,4,16,252.445,264.88,276.77,240.483,253.245,243.02,298.173,237.867,264.162,294.251,237.867,6592,0.564255353
78,11,5,298.946,314.28,366.833,272.268,237.868,261.173,286.313,267.171,255.98,241.98,237.868,4290,0.564252981
97,9,6,237.871,270.633,277.472,242.159,248.875,242.57,269.818,248.906,247.408,256.86,237.871,5238,0.564245864
64,9,9,302.952,288.121,282.469,250.996,268.365,282.2,266.636,237.875,258.56,311.739,237.875,5184,0.564236376
67,4,15,242.015,308.407,259.766,313.919,277.672,237.879,265.751,256.136,288.556,267.889,237.879,4020,0.564226888
