Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
18,4,15,271.466,260.132,260.668,268.456,260.63,260.531,260.363,260.187,260.381,261.105,260.132,0.5159600818046223
18,4,16,156.86,146.362,145.793,157.954,148.3,146.212,146.221,146.203,148.914,155.999,145.793,0.9206047478273991
18,5,4,204.803,193.721,194.494,193.619,195.461,196.154,201.839,197.02,195.61,195.602,193.619,0.6932053569122864
18,5,5,239.814,247.861,242.46,235.669,235.906,247.218,249.099,237.431,239.213,239.079,235.669,0.5695179595110091
18,5,6,219.837,209.519,220.7,216.93,209.509,209.277,211.463,211.493,208.567,209.735,208.567,0.6435233186458069
18,5,7,252.106,243.899,242.048,241.182,245.26,245.689,239.149,239.093,246.535,239.755,239.093,0.5613620139443648
18,5,8,190.56,180.527,180.016,181.029,187.488,181.004,180.007,180.33,181.363,180.426,180.007,0.7456250479148032
18,5,9,211.837,207.91,202.409,201.221,210.044,200.775,200.658,208.25,200.986,201.355,200.658,0.6688879984849845
18,5,10,231.697,222.447,222.364,221.696,222.104,221.14,221.876,229.076,221.945,221.953,221.14,0.6069355521389166
18,5,11,252.822,242.528,242.843,242.961,242.87,243.393,242.814,242.187,243.27,249.639,242.187,0.5541904726512984
18,5,12,273.124,263.388,263.351,263.135,263.67,263.086,263.529,263.631,263.108,264.106,263.086,0.5101667439544484
18,5,13,294.302,293.71,292.759,293.979,283.655,284.74,284.201,284.546,284.065,283.829,283.655,0.4731724383494033
18,5,14,347.462,341.015,328.537,328.767,328.948,328.736,328.612,313.431,304.709,304.759,304.709,0.4404783842945236
18,5,15,335.462,325.086,341.0,328.002,334.02,329.767,328.643,329.36,328.541,328.001,325.086,0.41286837329199044
18,5,16,195.629,186.054,185.378,189.901,182.952,189.706,182.025,185.226,182.397,182.584,182.025,0.737358758412306
18,6,4,189.165,174.308,174.587,174.531,174.191,174.035,174.082,174.463,174.608,174.458,174.035,0.7712111241991554
18,6,5,221.657,220.143,211.25,220.305,211.567,232.563,213.733,214.467,214.444,214.96,211.25,0.6353501917159764
18,6,6,200.95,188.484,188.301,188.39,189.012,188.521,188.793,189.081,188.522,188.991,188.301,0.7127828742279647
18,6,7,225.328,214.957,222.472,214.581,214.78,214.622,215.071,214.538,214.705,214.977,214.538,0.6256128424801201
18,6,8,173.18,162.119,175.587,163.257,163.59,161.46,169.675,161.49,162.029,161.49,161.46,0.8312754118667162
18,6,9,192.54,180.708,187.669,180.075,180.43,180.562,187.637,180.607,180.69,180.517,180.075,0.7453434846591698
18,6,10,210.326,199.09,199.094,199.167,199.154,198.812,199.216,210.409,199.226,199.153,198.812,0.675098726435024
