Tm,Tr,Tc,Tr*Tc,Block Size,GFLOPS
8,8,11,88,704,21.72510974
8,8,10,80,640,21.77445295
8,8,9,72,576,21.48514935
8,8,8,64,512,21.74975336
8,8,7,56,448,18.60517438
8,8,6,48,384,21.06036843
8,8,5,40,320,18.29327082
8,8,4,32,256,16.39200391
