Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
35,12,13,264.845,265.06,264.801,265.87,266.529,264.964,264.942,277.092,266.043,264.914,264.801,0.5068626175883021
35,12,14,265.776,265.993,264.875,265.166,264.85,265.912,265.404,264.944,266.13,265.278,264.85,0.5067688427411742
35,12,15,264.906,266.02,265.221,264.868,265.005,266.001,267.421,264.85,265.13,266.076,264.85,0.5067688427411742
35,12,16,265.926,265.964,264.881,265.908,265.899,264.841,265.973,265.982,265.331,264.919,264.841,0.506786064091285
35,13,4,266.148,265.075,264.942,266.292,265.038,265.418,266.263,264.79,264.839,265.073,264.79,0.5068836738547527
35,13,5,266.078,264.91,267.488,266.123,266.231,270.614,265.15,266.135,265.337,266.164,264.91,0.5066540636442565
35,13,6,264.885,265.261,264.958,264.885,316.458,321.942,265.827,266.401,268.455,265.376,264.885,0.5067018819487703
35,13,7,266.216,267.477,266.071,264.794,266.181,265.645,275.554,265.996,267.106,265.544,264.794,0.506876016828176
35,13,8,282.281,266.398,266.171,265.95,265.754,265.118,265.129,265.682,268.318,266.123,265.118,0.5062565650012447
35,13,9,273.113,266.103,266.178,266.596,266.907,266.062,266.109,264.914,264.957,265.599,264.914,0.5066464135530776
35,13,10,282.574,265.954,265.672,267.485,265.541,267.845,266.904,266.108,265.437,266.12,265.437,0.5056481500318343
35,13,11,266.386,265.53,265.163,266.207,265.566,266.074,265.223,265.713,265.483,265.984,265.163,0.506170649751285
35,13,12,266.859,268.127,322.349,322.31,264.774,264.957,264.873,264.904,264.777,264.859,264.774,0.5069143042745888
35,13,13,265.96,264.854,265.998,265.027,266.038,266.139,265.079,265.956,265.492,266.026,264.854,0.5067611891834747
35,13,14,264.816,264.972,266.053,264.963,264.888,265.037,264.939,264.839,264.799,265.98,264.799,0.506866445870264
35,13,15,265.953,266.063,266.002,264.896,265.994,266.092,265.855,264.783,264.914,324.193,264.783,0.5068970742079364
35,13,16,298.166,265.125,264.773,265.183,266.019,265.113,265.352,265.962,264.928,265.319,264.773,0.5069162187987445
35,14,4,266.198,265.158,265.757,265.745,266.245,265.183,266.144,264.913,265.512,266.282,264.913,0.506648326054214
35,14,5,266.143,265.301,265.058,266.157,265.433,266.239,266.406,266.848,322.715,322.077,265.058,0.5063711640471142
35,14,6,264.853,264.983,264.763,264.78,265.885,266.117,266.218,264.748,266.102,264.971,264.748,0.5069640866031094
35,14,7,267.728,265.81,266.147,264.938,264.903,264.894,266.067,266.009,265.238,266.239,264.894,0.5066846663193578
35,14,8,264.781,268.29,265.278,267.16,265.955,268.104,266.042,265.876,264.891,268.239,264.781,0.5069009030104124
35,14,9,265.935,265.97,266.028,265.962,268.333,265.527,265.997,265.186,265.986,265.001,265.001,0.5064800812072408
35,14,10,264.877,265.216,265.863,265.872,265.779,265.928,265.933,265.284,264.841,266.077,264.841,0.506786064091285
35,14,11,264.848,264.971,266.058,274.188,264.858,271.332,266.055,266.109,266.059,265.067,264.848,0.5067726696067177
35,14,12,264.773,266.352,264.723,266.204,265.985,265.233,264.747,264.779,264.86,264.826,264.723,0.5070119634485859
35,14,13,294.831,265.194,265.888,264.751,264.72,264.934,264.702,265.224,264.727,265.811,264.702,0.5070521869876313
35,14,14,265.878,264.754,265.878,265.694,266.115,264.803,265.963,264.935,264.874,265.976,264.754,0.506952597505609
35,14,15,264.812,265.848,264.923,264.989,265.809,265.227,265.034,265.793,265.775,265.813,264.812,0.5068415630711599
35,14,16,265.557,266.062,264.93,265.723,265.119,264.753,264.796,265.789,264.75,265.767,264.75,0.5069602568460813
35,15,4,264.953,264.94,264.754,265.63,265.987,265.518,265.007,264.961,266.19,265.854,264.754,0.506952597505609
35,15,5,266.056,265.961,264.839,264.777,265.228,265.807,265.508,266.059,264.744,265.974,264.744,0.5069717462907563
35,15,6,265.933,265.187,264.889,264.998,264.795,265.899,264.777,266.028,264.872,264.921,264.777,0.5069085607888903
35,15,7,265.91,264.753,264.778,270.272,265.945,265.94,265.007,266.573,264.928,270.127,264.753,0.5069545123190295
35,15,8,264.915,264.811,265.513,265.834,265.85,265.74,264.768,265.804,265.468,265.837,264.768,0.5069257916364517
35,15,9,267.475,265.643,265.78,264.807,264.906,264.865,266.135,265.817,264.843,264.79,264.79,0.5068836738547527
35,15,10,266.029,264.803,265.97,265.378,264.879,264.961,266.112,265.815,264.733,265.26,264.733,0.506992811625298
35,15,11,265.279,266.159,265.025,265.959,265.95,265.695,266.043,266.411,266.052,265.985,265.025,0.506434215640034
35,15,12,266.564,265.991,265.087,264.926,265.88,264.846,265.971,265.152,264.835,264.942,264.835,0.5067975456416259
35,15,13,265.114,264.785,265.832,264.999,265.829,321.634,322.377,265.839,265.956,265.329,264.785,0.5068932454633004
35,15,14,318.478,322.31,321.31,264.903,265.948,265.021,265.949,265.94,265.446,265.978,264.903,0.5066674518597374
35,15,15,265.978,264.907,268.581,266.603,264.888,264.884,266.55,265.745,264.912,270.195,264.884,0.5067037948686972
35,15,16,264.754,264.887,265.944,265.788,264.745,264.827,264.866,264.848,265.087,265.853,264.745,0.5069698313471453
35,16,4,266.064,267.296,266.186,264.848,265.964,266.01,264.84,264.871,264.756,266.06,264.756,0.5069487679221623
35,16,5,266.103,266.19,266.144,266.304,266.368,265.972,264.872,264.754,264.782,265.962,264.754,0.506952597505609
35,16,6,264.774,266.743,265.898,264.75,264.771,265.931,264.843,265.861,265.109,264.895,264.75,0.5069602568460813
35,16,7,265.925,265.929,268.963,265.891,265.907,265.161,264.837,265.08,265.998,265.932,264.837,0.5067937184003746
35,16,8,264.809,265.841,265.83,266.024,264.906,264.739,265.868,265.975,272.93,265.802,264.739,0.5069813212258111
35,16,9,272.772,266.617,265.356,265.886,264.74,265.068,264.88,264.726,266.162,264.705,264.705,0.5070464403770235
35,16,10,264.793,265.889,266.032,265.997,265.228,264.985,265.998,264.92,264.898,266.051,264.793,0.5068779310631324
35,16,11,264.853,265.998,266.119,266.342,264.876,264.909,265.88,266.059,264.717,266.195,264.717,0.5070234552371023
35,16,12,264.876,266.024,266.002,272.319,264.974,266.003,266.109,266.308,266.088,266.05,264.876,0.5067190987480934
35,16,13,267.626,266.003,265.952,264.76,264.724,265.943,264.74,265.912,266.534,265.816,264.724,0.5070100482011453
35,16,14,264.777,265.348,264.94,264.916,264.761,265.95,264.783,265.847,265.098,264.77,264.761,0.5069391942166708
35,16,15,265.811,265.882,265.834,265.829,265.791,265.93,269.293,264.752,266.014,265.7,264.752,0.5069564271469149
35,16,16,265.692,264.708,265.793,264.818,265.878,265.698,265.119,266.031,266.023,266.203,264.708,0.507040693896671
36,4,4,266.134,266.111,264.923,266.966,266.023,266.745,264.814,265.992,266.768,266.087,264.814,0.5068377351650593
36,4,5,264.908,266.96,264.842,264.867,264.841,265.505,322.677,321.538,267.824,266.004,264.841,0.506786064091285
36,4,6,320.676,322.619,321.915,266.889,326.313,322.572,266.811,266.098,265.29,265.953,265.29,0.5059283350295902
36,4,7,266.898,266.164,265.882,266.306,266.164,265.004,265.493,266.426,265.309,265.124,265.004,0.506474347557018
36,4,8,266.052,266.241,267.807,265.8,264.938,266.124,266.02,264.892,265.635,266.883,264.892,0.5066884919136856
36,4,9,264.908,265.004,266.109,264.928,268.937,266.07,264.996,265.539,266.29,264.804,264.804,0.5068568752737874
36,4,10,286.871,264.759,266.581,266.071,271.146,265.886,264.922,265.959,266.355,266.23,264.759,0.5069430236554753
36,4,11,265.956,265.432,266.296,266.084,265.066,322.03,311.437,266.172,265.939,265.986,265.066,0.5063558811767636
36,4,12,264.758,265.733,266.111,264.948,264.85,266.136,266.295,266.003,264.837,264.925,264.758,0.5069449383965735
36,4,13,348.33,322.623,265.907,272.401,266.111,265.884,266.012,266.049,265.085,266.09,265.085,0.5063195880566611
36,4,14,266.535,266.135,266.433,264.993,265.725,264.909,266.533,322.017,321.719,265.222,264.909,0.5066559762031491
36,4,15,265.527,266.017,266.01,267.022,265.833,266.033,265.98,265.87,266.157,265.938,265.527,0.5054767613086428
36,4,16,266.144,322.271,311.442,266.013,265.93,266.674,265.947,265.956,265.081,266.016,265.081,0.5063272282811668
36,5,4,266.133,267.605,266.176,266.289,265.018,265.539,266.06,265.89,267.102,266.181,265.018,0.5064475922390178
36,5,5,266.111,265.418,267.773,265.929,264.962,265.522,265.959,266.173,264.902,267.128,264.902,0.5066693645197092
36,5,6,264.994,265.021,266.055,266.546,264.98,265.704,266.55,266.079,265.108,266.116,264.98,0.506520220393992
36,5,7,266.515,265.685,264.964,266.208,266.035,265.959,266.157,267.648,264.94,264.842,264.842,0.5067841505501394
36,5,8,267.769,265.969,265.991,266.53,265.605,264.924,264.987,266.234,274.877,265.477,264.924,0.5066272893358096
36,5,9,266.176,265.775,264.978,264.921,264.921,266.61,265.973,264.9,266.071,265.91,264.9,0.5066731898829747
36,5,10,319.523,313.165,264.827,266.595,266.07,264.976,265.894,265.452,264.928,264.966,264.827,0.5068128551847055
36,5,11,266.773,265.026,266.023,265.991,264.882,265.33,264.864,266.061,265.582,265.038,264.864,0.506742056300592
36,5,12,265.945,266.469,265.568,265.828,265.964,266.356,264.833,264.981,266.589,265.352,264.833,0.5068013729406833
36,5,13,265.903,264.855,266.433,266.208,265.854,266.077,265.962,265.091,266.065,265.181,264.855,0.5067592758301712
36,5,14,264.82,266.034,264.899,266.027,265.962,265.023,264.888,266.902,266.054,266.099,264.82,0.5068262517936712
36,5,15,286.883,267.29,264.938,270.332,320.996,268.227,265.989,265.756,268.132,266.654,264.938,0.506600517857008
36,5,16,265.979,266.977,265.962,264.741,265.331,265.602,266.026,265.944,267.108,265.888,264.741,0.5069774912083885
36,6,4,290.312,265.855,266.49,265.791,266.387,265.491,265.793,265.865,266.318,265.308,265.308,0.5058940099808524
36,6,5,266.352,266.294,265.918,266.342,265.251,265.62,265.669,265.054,265.629,265.738,265.054,0.5063788058282465
36,6,6,265.282,266.065,265.197,265.3,265.397,267.808,266.283,266.428,265.534,266.286,265.197,0.5061057553441404
36,6,7,268.254,266.099,265.01,269.538,266.201,264.996,265.638,268.901,266.197,265.984,264.996,0.5064896375794352
36,6,8,266.429,267.181,266.34,265.403,266.819,265.507,265.572,266.042,266.021,265.655,265.403,0.5057129271334536
36,6,9,292.617,268.709,275.318,326.216,306.23,266.783,265.313,265.055,265.072,266.192,265.055,0.5063768953613401
36,6,10,265.01,266.253,266.474,266.171,265.061,265.336,265.516,266.435,272.943,266.292,265.01,0.5064628806460134
36,6,11,265.614,265.909,265.405,270.253,271.927,272.071,270.613,267.948,265.634,265.276,265.276,0.5059550355101856
36,6,12,266.447,266.221,265.213,323.75,313.124,266.436,266.619,265.593,267.042,266.237,265.213,0.5060752225569636
36,6,13,266.271,265.229,265.073,266.547,268.033,268.886,270.347,268.312,267.632,270.239,265.073,0.5063425094219328
36,6,14,266.39,266.36,265.941,266.485,265.792,265.198,266.87,266.407,266.503,266.341,265.198,0.5061038469370056
36,6,15,266.352,277.394,324.38,312.707,265.944,265.19,268.864,266.243,268.24,267.178,265.19,0.5061191145970814
36,6,16,268.081,265.043,271.95,265.598,266.06,265.406,266.173,265.176,265.46,265.555,265.043,0.5063998219156891
36,7,4,265.914,265.585,266.112,266.426,267.101,266.026,266.437,268.725,266.268,266.39,265.585,0.505366372347836
36,7,5,268.934,266.196,266.278,265.491,265.598,265.139,265.422,265.923,266.225,266.417,265.139,0.5062164675886988
36,7,6,266.714,265.024,266.965,266.063,264.903,265.379,266.142,264.954,265.818,267.212,264.903,0.5066674518597374
36,7,7,282.478,266.976,266.406,265.149,267.209,265.175,269.929,265.911,266.064,266.394,265.149,0.5061973758151077
36,7,8,267.666,265.532,264.902,265.88,266.242,264.956,265.755,266.127,265.032,265.865,264.902,0.5066693645197092
36,7,9,266.441,266.2,270.895,270.123,265.584,265.753,265.506,265.258,265.58,265.719,265.258,0.5059893688409021
36,7,10,265.574,266.241,267.642,264.831,265.662,265.55,266.291,272.8,265.555,271.075,264.831,0.5068052002975482
36,7,11,266.991,265.794,266.051,266.584,266.042,265.025,265.922,264.998,265.111,265.697,264.998,0.5064858149872828
36,7,12,266.374,265.04,266.224,267.903,266.011,266.25,266.27,267.081,266.173,266.194,265.04,0.5064055538786598
36,7,13,266.532,266.25,264.901,266.093,265.763,266.159,266.147,265.376,265.018,266.162,264.901,0.5066712771941216
36,7,14,269.238,266.251,265.974,265.022,266.012,266.127,266.24,264.958,268.324,265.822,264.958,0.5065622777949712
36,7,15,266.767,265.189,265.003,266.017,264.978,265.805,266.483,265.816,264.938,264.892,264.892,0.5066884919136856
36,7,16,266.518,265.067,267.594,265.067,266.225,266.049,266.051,264.964,265.136,265.18,264.964,0.5065508069020698
36,8,4,266.686,266.389,267.053,265.164,266.27,265.155,266.27,264.94,266.427,264.959,264.94,0.5065966935910018
36,8,5,283.667,268.659,264.974,266.305,269.151,266.506,266.346,266.803,266.299,265.535,264.974,0.5065316899016508
36,8,6,265.759,266.086,267.515,265.613,266.229,264.954,266.139,266.162,265.578,265.711,264.954,0.5065699253455317
