Tm,Tr,Tc,Tr*Tc,Block Size,GFLOPS
18,16,8,128,2304,44.91891834
18,15,8,120,2160,38.3260217
18,14,8,112,2016,38.44678545
18,13,8,104,1872,37.89320384
18,12,8,96,1728,38.28229549
18,11,8,88,1584,38.10838387
18,10,8,80,1440,38.19514172
18,9,8,72,1296,38.24956626
18,8,8,64,1152,41.66958336
18,7,8,56,1008,36.08003441
18,6,8,48,864,33.24689819
18,5,8,40,720,34.74442868
18,4,8,32,576,32.00995182
