Tm,Tr,Tc,Tr*Tc,Block Size,GFLOPS
18,16,15,240,4320,42.10091844
18,16,14,224,4032,42.14057394
18,16,13,208,3744,41.9561513
18,16,12,192,3456,42.33997729
18,16,11,176,3168,42.56826134
18,16,10,160,2880,42.4470993
18,16,9,144,2592,42.48740994
18,16,8,128,2304,44.91891834
18,16,7,112,2016,39.38313615
18,16,6,96,1728,41.27236408
18,16,5,80,1440,40.25726695
18,16,4,64,1152,42.27330016
