Tm,Tr,Tc,Tr*Tc,Block Size,GFLOPS
8,8,11,88,704,21.72510974
8,7,11,77,616,18.60775378
8,6,11,66,528,19.85763101
8,5,11,55,440,15.45396983
8,4,11,44,352,20.48500122
